Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events,Label
546,3,134.0,0,0,0,0,0,
547,2,134.0,0,0,0,0,0,
548,3,134.0,0,0,0,0,0,
549,2,134.0,0,0,0,0,0,
550,3,134.0,0,0,0,0,0,
551,2,134.0,0,0,0,0,0,
552,3,134.0,0,0,0,0,0,
553,2,134.0,0,0,0,0,0,
554,3,134.0,0,0,0,0,0,
555,2,134.0,0,0,0,0,0,
556,3,134.0,0,0,0,0,0,
557,2,134.0,0,0,0,0,0,
558,3,134.0,0,0,0,0,0,
559,2,134.0,0,0,0,0,0,
560,3,134.0,0,0,0,0,0,
561,2,134.0,0,0,0,0,0,
562,3,134.0,0,0,0,0,0,
563,2,134.0,0,0,0,0,0,
564,3,134.0,0,0,0,0,0,
565,2,134.0,0,0,0,0,0,
566,3,134.0,0,0,0,0,0,
567,2,134.0,0,0,0,0,0,
568,3,134.0,0,0,0,0,0,
569,2,134.0,0,0,0,0,0,
570,3,134.0,0,0,0,0,0,
571,2,134.0,0,0,0,0,0,
572,3,134.0,0,0,0,0,0,
573,2,134.0,0,0,0,0,0,
574,3,134.0,0,0,0,0,0,
575,2,134.0,0,0,0,0,0,
576,3,134.0,0,0,0,0,0,
577,2,134.0,0,0,0,0,0,
578,3,134.0,0,0,0,0,0,
579,2,134.0,0,0,0,0,0,
580,3,134.0,0,0,0,0,0,
581,2,134.0,0,0,0,0,0,
582,3,134.0,0,0,0,0,0,
583,2,134.0,0,0,0,0,0,
584,3,134.0,0,0,0,0,0,
585,2,134.0,0,0,0,0,0,
586,3,134.0,0,0,0,0,0,
587,2,134.0,0,0,0,0,0,
588,3,134.0,0,0,0,0,0,
589,2,134.0,0,0,0,0,0,
590,3,134.0,0,0,0,0,0,
591,2,134.0,0,0,0,0,0,
592,3,134.0,0,0,0,0,0,
593,2,134.0,0,0,0,0,0,
594,3,134.0,0,0,0,0,0,
595,2,134.0,0,0,0,0,0,
596,3,134.0,0,0,0,0,0,
597,2,134.0,0,0,0,0,0,
598,3,134.0,0,0,0,0,0,
599,2,134.0,0,0,0,0,0,
600,3,134.0,0,0,0,0,0,
601,2,134.0,0,0,0,0,0,
602,3,134.0,0,0,0,0,0,
603,2,134.0,0,0,0,0,0,
604,3,134.0,0,0,0,0,0,
605,2,134.0,0,0,0,0,0,
606,3,134.0,0,0,0,0,0,
607,2,134.0,0,0,0,0,0,
608,3,134.0,0,0,0,0,0,
609,2,134.0,0,0,0,0,0,
610,3,134.0,0,0,0,0,0,
611,2,134.0,0,0,0,0,0,
612,3,134.0,0,0,0,0,0,
613,2,134.0,0,0,0,0,0,
614,3,134.0,0,0,0,0,0,
615,2,134.0,0,0,0,0,0,
616,3,134.0,0,0,0,0,0,
617,2,134.0,0,0,0,0,0,
618,3,134.0,0,0,0,0,0,
619,2,134.0,0,0,0,0,0,
620,3,134.0,0,0,0,0,0,
621,2,134.0,0,0,0,0,0,
622,3,134.0,0,0,0,0,0,
623,2,134.0,0,0,0,0,0,
624,3,134.0,0,0,0,0,0,
625,2,134.0,0,0,0,0,0,
626,3,134.0,0,0,0,0,0,
627,2,134.0,0,0,0,0,0,
628,3,134.0,0,0,0,0,0,
629,2,134.0,0,0,0,0,0,
630,3,134.0,0,0,0,0,0,
631,2,134.0,0,0,0,0,0,
632,3,134.0,0,0,0,0,0,
633,2,134.0,0,0,0,0,0,
634,3,134.0,0,0,0,0,0,
635,2,134.0,0,0,0,0,0,
636,3,134.0,0,0,0,0,0,
637,2,134.0,0,0,0,0,0,
638,3,134.0,0,0,0,0,0,
639,2,134.0,0,0,0,0,0,
640,3,134.0,0,0,0,0,0,
641,2,134.0,0,0,0,0,0,
642,3,134.0,0,0,0,0,0,
643,2,134.0,0,0,0,0,0,
644,3,134.0,0,0,0,0,0,
645,2,134.0,0,0,0,0,0,
646,3,134.0,0,0,0,0,0,
647,2,134.0,0,0,0,0,0,
648,3,134.0,0,0,0,0,0,
649,2,134.0,0,0,0,0,0,
650,3,134.0,0,0,0,0,0,
651,2,134.0,0,0,0,0,0,
652,3,134.0,0,0,0,0,0,
653,2,134.0,0,0,0,0,0,
654,3,134.0,0,0,0,0,0,
655,2,134.0,0,0,0,0,0,
656,12,132.83,1,1,0,1,1,
657,2,133.0,0,0,0,0,0,
658,3,133.0,0,0,0,0,0,
659,2,133.0,0,0,0,0,0,
660,3,133.0,0,0,0,0,0,
661,2,133.0,0,0,0,0,0,
662,3,133.0,0,0,0,0,0,
663,2,133.0,0,0,0,0,0,
664,3,133.0,0,0,0,0,0,
665,2,133.0,0,0,0,0,0,
666,3,133.0,0,0,0,0,0,
667,2,133.0,0,0,0,0,0,
668,3,133.0,0,0,0,0,0,
669,2,133.0,0,0,0,0,0,
670,3,133.0,0,0,0,0,0,
671,2,133.0,0,0,0,0,0,
672,3,133.0,0,0,0,0,0,
673,2,133.0,0,0,0,0,0,
674,3,133.0,0,0,0,0,0,
675,2,133.0,0,0,0,0,0,
676,3,133.0,0,0,0,0,0,
677,2,133.0,0,0,0,0,0,
678,3,133.0,0,0,0,0,0,
679,2,133.0,0,0,0,0,0,
680,3,133.0,0,0,0,0,0,
681,2,133.0,0,0,0,0,0,
682,3,133.0,0,0,0,0,0,
683,2,133.0,0,0,0,0,0,
684,3,133.0,0,0,0,0,0,
687,11,132.55,1,1,0,1,2,
688,3,133.0,0,0,0,0,0,
689,2,133.0,0,0,0,0,0,
690,3,133.0,0,0,0,0,0,
691,2,133.0,0,0,0,0,0,
692,3,133.0,0,0,0,0,0,
693,2,133.0,0,0,0,0,0,
694,3,133.0,0,0,0,0,0,
695,2,133.0,0,0,0,0,0,
696,3,133.0,0,0,0,0,0,
697,2,133.0,0,0,0,0,0,
698,3,133.0,0,0,0,0,0,
699,2,133.0,0,0,0,0,0,
700,3,133.0,0,0,0,0,0,
701,2,133.0,0,0,0,0,0,
702,3,133.0,0,0,0,0,0,
703,2,133.0,0,0,0,0,0,
