Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time,Label
462,2,66,1,0,0,0,0,0,0,0.00113,
463,3,66,1,0,0,0,0,0,0,0.001226,
464,2,66,1,0,0,0,0,0,0,0.000726,
465,3,66,1,0,0,0,0,0,0,0.001194,
466,3,66,1,0,0,0,0,0,0,0.000744,
467,3,66,1,0,0,0,0,0,0,0.00286,
468,2,66,1,0,0,0,0,0,0,0.00193,
469,2,66,1,0,0,0,0,0,0,0.002842,
470,3,66,1,0,0,0,0,0,0,0.001099,
471,2,66,1,0,0,0,0,0,0,0.000844,
472,3,66,1,0,0,0,0,0,0,0.000788,
473,2,66,1,0,0,0,0,0,0,0.000804,
474,3,66,1,0,0,0,0,0,0,0.000814,
475,2,66,1,0,0,0,0,0,0,0.001163,
476,3,66,1,0,0,0,0,0,0,0.000868,
477,2,66,1,0,0,0,0,0,0,0.002945,
478,4,66,1,0,0,0,0,0,0,0.00122,
479,2,66,1,0,0,0,0,0,0,0.005054,
480,3,66,1,0,0,0,0,0,0,0.001337,
481,2,66,1,0,0,0,0,0,0,0.001564,
482,3,66,1,0,0,0,0,0,0,0.002528,
483,2,66,1,0,0,0,0,0,0,0.003332,
484,3,66,1,0,0,0,0,0,0,0.005959,
485,2,66,1,0,0,0,0,0,0,0.011064,
486,3,66,1,0,0,0,0,0,0,0.011609,
487,2,66,1,0,0,0,0,0,0,0.000839,
488,3,66,1,0,0,0,0,0,0,0.001191,
489,2,66,1,0,0,0,0,0,0,0.00086,
490,4,66,1,0,0,0,0,0,0,0.003977,
491,2,66,1,0,0,0,0,0,0,0.001201,
492,3,66,1,0,0,0,0,0,0,0.000994,
493,2,66,1,0,0,0,0,0,0,0.001186,
494,3,66,1,0,0,0,0,0,0,0.001376,
495,2,66,1,0,0,0,0,0,0,0.000893,
496,3,66,1,0,0,0,0,0,0,0.002153,
497,2,66,1,0,0,0,0,0,0,0.000796,
498,3,66,1,0,0,0,0,0,0,0.000826,
499,2,66,1,0,0,0,0,0,0,0.000799,
500,2,66,1,0,0,0,0,0,0,0.000973,
501,3,66,1,0,0,0,0,0,0,0.001196,
502,3,66,1,0,0,0,0,0,0,0.001573,
503,3,66,1,0,0,0,0,0,0,0.001598,
504,2,66,1,0,0,0,0,0,0,0.004618,
505,3,66,1,0,0,0,0,0,0,0.000952,
506,2,66,1,0,0,0,0,0,0,0.001138,
507,3,66,1,0,0,0,0,0,0,0.002363,
508,2,66,1,0,0,0,0,0,0,0.003281,
509,3,66,1,0,0,0,0,0,0,0.002016,
510,2,66,1,0,0,0,0,0,0,0.001296,
511,3,66,1,0,0,0,0,0,0,0.001352,
512,2,66,1,0,0,0,0,0,0,0.000933,
513,3,66,1,0,0,0,0,0,0,0.001095,
514,3,66,1,0,0,0,0,0,0,0.00101,
515,3,66,1,0,0,0,0,0,0,0.000753,
516,2,66,1,0,0,0,0,0,0,0.00121,
517,3,66,1,0,0,0,0,0,0,0.000749,
518,2,66,1,0,0,0,0,0,0,0.001023,
519,3,66,1,0,0,0,0,0,0,0.001008,
520,2,66,1,0,0,0,0,0,0,0.002542,
521,3,66,1,0,0,0,0,0,0,0.002636,
522,2,66,1,0,0,0,0,0,0,0.003677,
523,3,66,1,0,0,0,0,0,0,0.000822,
524,2,66,1,0,0,0,0,0,0,0.002171,
525,3,66,1,0,0,0,0,0,0,0.000849,
526,2,66,1,0,0,0,0,0,0,0.00122,
527,4,66,1,0,0,0,0,0,0,0.001186,
528,2,66,1,0,0,0,0,0,0,0.000936,
529,3,66,1,0,0,0,0,0,0,0.001108,
530,2,66,1,0,0,0,0,0,0,0.001052,
531,2,66,1,0,0,0,0,0,0,0.000981,
