Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed,Label
458,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
459,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
460,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
461,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
462,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
463,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
464,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
465,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
466,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
467,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
468,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
469,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
470,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
471,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
472,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
473,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
474,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
475,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
476,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
477,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
478,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
479,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
480,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
481,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
482,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
483,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
484,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
485,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
486,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
487,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
488,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
489,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
490,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
491,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
492,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
493,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
494,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
495,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
496,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
497,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
498,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
499,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
500,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
501,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
502,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
503,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
504,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
505,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
506,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
507,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
508,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
509,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
510,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
511,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
512,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
513,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
514,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
515,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
516,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
517,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
518,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
