Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10792,3,134.0,0,0,0,0
10793,2,134.0,0,0,0,0
10794,3,134.0,0,0,0,0
10795,2,134.0,0,0,0,0
10796,3,134.0,0,0,0,0
10797,2,134.0,0,0,0,0
10798,3,134.0,0,0,0,0
10799,2,134.0,0,0,0,0
10800,3,134.0,0,0,0,0
10801,2,134.0,0,0,0,0
10802,3,134.0,0,0,0,0
10803,2,134.0,0,0,0,0
10804,3,134.0,0,0,0,0
10805,2,134.0,0,0,0,0
10806,3,134.0,0,0,0,0
10807,2,134.0,0,0,0,0
10808,3,134.0,0,0,0,0
10809,2,134.0,0,0,0,0
10810,3,134.0,0,0,0,0
10811,2,134.0,0,0,0,0
10812,3,134.0,0,0,0,0
10813,2,134.0,0,0,0,0
10814,3,134.0,0,0,0,0
10815,2,134.0,0,0,0,0
10816,3,134.0,0,0,0,0
10817,2,134.0,0,0,0,0
10818,3,134.0,0,0,0,0
10819,2,134.0,0,0,0,0
10820,3,134.0,0,0,0,0
10821,2,134.0,0,0,0,0
10822,3,134.0,0,0,0,0
10823,2,134.0,0,0,0,0
10824,3,134.0,0,0,0,0
10825,2,134.0,0,0,0,0
10826,3,134.0,0,0,0,0
10827,2,134.0,0,0,0,0
10828,3,134.0,0,0,0,0
10829,2,134.0,0,0,0,0
10830,3,134.0,0,0,0,0
10831,2,134.0,0,0,0,0
10832,3,134.0,0,0,0,0
10833,2,134.0,0,0,0,0
10834,3,134.0,0,0,0,0
10835,2,134.0,0,0,0,0
10836,3,134.0,0,0,0,0
10837,2,134.0,0,0,0,0
10838,3,134.0,0,0,0,0
10839,2,134.0,0,0,0,0
10840,3,134.0,0,0,0,0
10841,2,134.0,0,0,0,0
10842,3,134.0,0,0,0,0
10843,2,134.0,0,0,0,0
10844,3,134.0,0,0,0,0
10845,2,134.0,0,0,0,0
10846,3,134.0,0,0,0,0
10847,2,134.0,0,0,0,0
10848,3,134.0,0,0,0,0
10849,2,134.0,0,0,0,0
10850,3,134.0,0,0,0,0
10851,2,134.0,0,0,0,0
10852,3,134.0,0,0,0,0
10853,2,134.0,0,0,0,0
10854,3,134.0,0,0,0,0
10855,2,134.0,0,0,0,0
10856,3,134.0,0,0,0,0
10857,2,134.0,0,0,0,0
10858,3,134.0,0,0,0,0
10859,2,134.0,0,0,0,0
10860,3,134.0,0,0,0,0
10861,2,134.0,0,0,0,0
10862,3,134.0,0,0,0,0
10863,2,134.0,0,0,0,0
10864,3,134.0,0,0,0,0
10865,2,134.0,0,0,0,0
10866,3,134.0,0,0,0,0
10867,2,134.0,0,0,0,0
10868,3,134.0,0,0,0,0
