Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
10809,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10810,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10811,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10812,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10813,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10814,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10815,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10816,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10817,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10818,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10819,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10820,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10821,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10822,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10823,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10824,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10825,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10826,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10827,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10828,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10829,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10830,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10831,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10832,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10833,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10834,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10835,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10836,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0
10837,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10838,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10839,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10840,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10841,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10842,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10843,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10844,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10845,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10846,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10847,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10848,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0
10849,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10850,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10851,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10852,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10853,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10854,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10855,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10856,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10857,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10858,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10859,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10860,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10861,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10862,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10863,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10864,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10865,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10866,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10867,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10868,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10869,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10870,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10871,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10872,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10873,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
