Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
11687,5,285.0,0,0,0,0,0
11688,5,285.0,0,0,0,0,0
11689,5,285.0,0,0,0,0,0
11690,5,285.0,0,0,0,0,0
11691,5,285.0,0,0,0,0,0
11692,5,285.0,0,0,0,0,0
11693,5,285.0,0,0,0,0,0
11694,5,285.0,0,0,0,0,0
11695,5,285.0,0,0,0,0,0
11696,5,285.0,0,0,0,0,0
11697,5,285.0,0,0,0,0,0
11698,5,285.0,0,0,0,0,0
11699,5,285.0,0,0,0,0,0
11700,5,285.0,0,0,0,0,0
11701,5,285.0,0,0,0,0,0
11702,5,285.0,0,0,0,0,0
11703,5,285.0,0,0,0,0,0
11704,5,285.0,0,0,0,0,0
11705,5,285.0,0,0,0,0,0
11706,5,285.0,0,0,0,0,0
11707,5,285.0,0,0,0,0,0
11708,5,285.0,0,0,0,0,0
11709,5,285.0,0,0,0,0,0
11710,5,285.0,0,0,0,0,0
11711,5,285.0,0,0,0,0,0
11712,5,285.0,0,0,0,0,0
11713,5,285.0,0,0,0,0,0
11714,5,285.0,0,0,0,0,0
11715,5,285.0,0,0,0,0,0
11716,5,285.0,0,0,0,0,0
11717,5,285.0,0,0,0,0,0
11718,5,285.0,0,0,0,0,0
11719,5,285.0,0,0,0,0,0
11720,5,285.0,0,0,0,0,0
11721,5,285.0,0,0,0,0,0
11722,5,285.0,0,0,0,0,0
11723,5,285.0,0,0,0,0,0
11724,5,285.0,0,0,0,0,0
11725,5,285.0,0,0,0,0,0
11726,5,285.0,0,0,0,0,0
11727,5,285.0,0,0,0,0,0
11728,5,285.0,0,0,0,0,0
11729,5,285.0,0,0,0,0,0
11730,5,285.0,0,0,0,0,0
11731,5,285.0,0,0,0,0,0
11732,5,285.0,0,0,0,0,0
11733,5,285.0,0,0,0,0,0
11734,5,285.0,0,0,0,0,0
11735,5,285.0,0,0,0,0,0
11736,5,285.0,0,0,0,0,0
11737,5,285.0,0,0,0,0,0
11738,5,285.0,0,0,0,0,0
11739,5,285.0,0,0,0,0,0
11740,5,285.0,0,0,0,0,0
11741,5,285.0,0,0,0,0,0
11742,5,285.0,0,0,0,0,0
11743,5,285.0,0,0,0,0,0
11744,5,285.0,0,0,0,0,0
11745,5,285.0,0,0,0,0,0
11746,5,285.0,0,0,0,0,0
11747,5,285.0,0,0,0,0,0
11748,5,285.0,0,0,0,0,0
11749,5,285.0,0,0,0,0,0
11750,5,285.0,0,0,0,0,0
11751,5,285.0,0,0,0,0,0
11752,5,285.0,0,0,0,0,0
11753,5,285.0,0,0,0,0,0
11754,5,285.0,0,0,0,0,0
11755,5,285.0,0,0,0,0,0
11756,5,285.0,0,0,0,0,0
11757,5,285.0,0,0,0,0,0
11758,5,285.0,0,0,0,0,0
11759,5,285.0,0,0,0,0,0
11760,5,285.0,0,0,0,0,0
11761,5,285.0,0,0,0,0,0
11762,5,285.0,0,0,0,0,0
11763,5,285.0,0,0,0,0,0
11764,5,285.0,0,0,0,0,0
11765,5,285.0,0,0,0,0,0
11766,5,285.0,0,0,0,0,0
11767,5,285.0,0,0,0,0,0
11768,5,285.0,0,0,0,0,0
11769,5,285.0,0,0,0,0,0
11770,5,285.0,0,0,0,0,0
11771,5,285.0,0,0,0,0,0
11772,5,285.0,0,0,0,0,0
11773,5,285.0,0,0,0,0,0
11774,5,285.0,0,0,0,0,0
11775,5,285.0,0,0,0,0,0
11776,5,285.0,0,0,0,0,0
11777,5,285.0,0,0,0,0,0
11778,5,285.0,0,0,0,0,0
11779,5,285.0,0,0,0,0,0
11780,5,285.0,0,0,0,0,0
11781,4,285.0,0,0,0,0,0
11782,5,285.0,0,0,0,0,0
11783,5,285.0,0,0,0,0,0
11784,5,285.0,0,0,0,0,0
11785,5,285.0,0,0,0,0,0
11786,5,285.0,0,0,0,0,0
11787,5,285.0,0,0,0,0,0
11788,5,285.0,0,0,0,0,0
11789,5,285.0,0,0,0,0,0
11790,5,285.0,0,0,0,0,0
11791,5,285.0,0,0,0,0,0
11792,5,285.0,0,0,0,0,0
11793,5,285.0,0,0,0,0,0
11794,5,285.0,0,0,0,0,0
11795,5,285.0,0,0,0,0,0
11796,5,285.0,0,0,0,0,0
11797,5,285.0,0,0,0,0,0
11798,5,285.0,0,0,0,0,0
11799,5,285.0,0,0,0,0,0
11800,5,285.0,0,0,0,0,0
11801,5,285.0,0,0,0,0,0
11802,5,285.0,0,0,0,0,0
11803,5,285.0,0,0,0,0,0
11804,5,285.0,0,0,0,0,0
11805,5,285.0,0,0,0,0,0
11806,5,285.0,0,0,0,0,0
11807,5,285.0,0,0,0,0,0
11808,5,285.0,0,0,0,0,0
11809,5,285.0,0,0,0,0,0
11810,5,285.0,0,0,0,0,0
11811,5,285.0,0,0,0,0,0
11812,5,285.0,0,0,0,0,0
11813,5,285.0,0,0,0,0,0
11814,5,285.0,0,0,0,0,0
11815,5,285.0,0,0,0,0,0
11816,5,285.0,0,0,0,0,0
11817,5,285.0,0,0,0,0,0
11818,5,285.0,0,0,0,0,0
11819,5,285.0,0,0,0,0,0
11820,5,285.0,0,0,0,0,0
11821,5,285.0,0,0,0,0,0
11822,5,285.0,0,0,0,0,0
11823,5,285.0,0,0,0,0,0
11824,5,285.0,0,0,0,0,0
11825,5,285.0,0,0,0,0,0
11826,5,285.0,0,0,0,0,0
11827,5,285.0,0,0,0,0,0
11828,5,285.0,0,0,0,0,0
11829,5,285.0,0,0,0,0,0
11830,5,285.0,0,0,0,0,0
11831,5,285.0,0,0,0,0,0
11832,5,285.0,0,0,0,0,0
11833,5,285.0,0,0,0,0,0
11834,5,285.0,0,0,0,0,0
11835,5,285.0,0,0,0,0,0
11836,5,285.0,0,0,0,0,0
11837,5,285.0,0,0,0,0,0
11838,5,285.0,0,0,0,0,0
11839,5,285.0,0,0,0,0,0
11840,5,285.0,0,0,0,0,0
11841,5,285.0,0,0,0,0,0
11842,5,285.0,0,0,0,0,0
11843,5,285.0,0,0,0,0,0
11844,5,285.0,0,0,0,0,0
11845,5,285.0,0,0,0,0,0
11846,5,285.0,0,0,0,0,0
11847,5,285.0,0,0,0,0,0
11848,5,285.0,0,0,0,0,0
11849,5,285.0,0,0,0,0,0
11850,5,285.0,0,0,0,0,0
11851,5,285.0,0,0,0,0,0
11852,5,285.0,0,0,0,0,0
11853,5,285.0,0,0,0,0,0
11854,5,285.0,0,0,0,0,0
11855,5,285.0,0,0,0,0,0
11856,5,285.0,0,0,0,0,0
11857,5,285.0,0,0,0,0,0
11858,5,285.0,0,0,0,0,0
11859,5,285.0,0,0,0,0,0
11860,5,285.0,0,0,0,0,0
11861,5,285.0,0,0,0,0,0
11862,5,285.0,0,0,0,0,0
11863,5,285.0,0,0,0,0,0
11864,5,285.0,0,0,0,0,0
11865,5,285.0,0,0,0,0,0
11866,5,285.0,0,0,0,0,0
11867,5,285.0,0,0,0,0,0
11868,5,285.0,0,0,0,0,0
11869,5,285.0,0,0,0,0,0
11870,5,285.0,0,0,0,0,0
11871,5,285.0,0,0,0,0,0
11872,5,285.0,0,0,0,0,0
11873,5,285.0,0,0,0,0,0
11874,5,285.0,0,0,0,0,0
11875,5,285.0,0,0,0,0,0
11876,5,285.0,0,0,0,0,0
11877,5,285.0,0,0,0,0,0
11878,5,285.0,0,0,0,0,0
11879,5,285.0,0,0,0,0,0
11880,5,285.0,0,0,0,0,0
11881,5,285.0,0,0,0,0,0
11882,5,285.0,0,0,0,0,0
11883,5,285.0,0,0,0,0,0
11884,5,285.0,0,0,0,0,0
11885,5,285.0,0,0,0,0,0
11886,5,285.0,0,0,0,0,0
11887,5,285.0,0,0,0,0,0
11888,5,285.0,0,0,0,0,0
11889,5,285.0,0,0,0,0,0
11890,5,285.0,0,0,0,0,0
11891,5,285.0,0,0,0,0,0
11892,5,285.0,0,0,0,0,0
11893,5,285.0,0,0,0,0,0
11894,5,285.0,0,0,0,0,0
11895,5,285.0,0,0,0,0,0
11896,5,285.0,0,0,0,0,0
11897,5,285.0,0,0,0,0,0
11898,5,285.0,0,0,0,0,0
11899,5,285.0,0,0,0,0,0
11900,5,285.0,0,0,0,0,0
11901,5,285.0,0,0,0,0,0
11902,5,285.0,0,0,0,0,0
11903,5,285.0,0,0,0,0,0
11904,5,285.0,0,0,0,0,0
11905,5,285.0,0,0,0,0,0
11906,5,285.0,0,0,0,0,0
11907,5,285.0,0,0,0,0,0
11908,5,285.0,0,0,0,0,0
11909,5,285.0,0,0,0,0,0
11910,5,285.0,0,0,0,0,0
11911,5,285.0,0,0,0,0,0
11912,5,285.0,0,0,0,0,0
11913,5,285.0,0,0,0,0,0
11914,5,285.0,0,0,0,0,0
11915,5,285.0,0,0,0,0,0
11916,5,285.0,0,0,0,0,0
11917,5,285.0,0,0,0,0,0
11918,5,285.0,0,0,0,0,0
11919,5,285.0,0,0,0,0,0
11920,5,285.0,0,0,0,0,0
11921,5,285.0,0,0,0,0,0
11922,5,285.0,0,0,0,0,0
11923,5,285.0,0,0,0,0,0
11924,5,285.0,0,0,0,0,0
11925,5,285.0,0,0,0,0,0
11926,5,285.0,0,0,0,0,0
11927,5,285.0,0,0,0,0,0
11928,5,285.0,0,0,0,0,0
