Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
1180,3,134.0,0,0,0,0,0
1181,2,134.0,0,0,0,0,0
1182,3,134.0,0,0,0,0,0
1183,2,134.0,0,0,0,0,0
1184,3,134.0,0,0,0,0,0
1185,2,134.0,0,0,0,0,0
1186,3,134.0,0,0,0,0,0
1187,2,134.0,0,0,0,0,0
1188,3,134.0,0,0,0,0,0
1189,2,134.0,0,0,0,0,0
1190,3,134.0,0,0,0,0,0
1191,2,134.0,0,0,0,0,0
1192,3,134.0,0,0,0,0,0
1193,2,134.0,0,0,0,0,0
1194,3,134.0,0,0,0,0,0
1195,2,134.0,0,0,0,0,0
1196,3,134.0,0,0,0,0,0
1197,2,134.0,0,0,0,0,0
1198,3,134.0,0,0,0,0,0
1199,2,134.0,0,0,0,0,0
1200,3,134.0,0,0,0,0,0
1201,2,134.0,0,0,0,0,0
1202,3,134.0,0,0,0,0,0
1203,2,134.0,0,0,0,0,0
1204,3,134.0,0,0,0,0,0
1205,2,134.0,0,0,0,0,0
1206,3,134.0,0,0,0,0,0
1207,2,134.0,0,0,0,0,0
1208,3,134.0,0,0,0,0,0
1209,2,134.0,0,0,0,0,0
1210,3,134.0,0,0,0,0,0
1211,2,134.0,0,0,0,0,0
1212,3,134.0,0,0,0,0,0
1213,2,134.0,0,0,0,0,0
1214,3,134.0,0,0,0,0,0
1215,2,134.0,0,0,0,0,0
1216,3,134.0,0,0,0,0,0
1217,2,134.0,0,0,0,0,0
1218,3,134.0,0,0,0,0,0
1219,2,134.0,0,0,0,0,0
1220,3,134.0,0,0,0,0,0
1221,2,134.0,0,0,0,0,0
1222,3,134.0,0,0,0,0,0
1223,2,134.0,0,0,0,0,0
1224,3,134.0,0,0,0,0,0
1225,2,134.0,0,0,0,0,0
1226,3,134.0,0,0,0,0,0
1227,2,134.0,0,0,0,0,0
1228,3,134.0,0,0,0,0,0
1229,2,134.0,0,0,0,0,0
1230,3,134.0,0,0,0,0,0
1231,2,134.0,0,0,0,0,0
1232,3,134.0,0,0,0,0,0
1233,2,134.0,0,0,0,0,0
1234,3,134.0,0,0,0,0,0
1235,2,134.0,0,0,0,0,0
1236,3,134.0,0,0,0,0,0
1237,2,134.0,0,0,0,0,0
1238,3,134.0,0,0,0,0,0
1239,2,134.0,0,0,0,0,0
1240,3,134.0,0,0,0,0,0
1241,2,134.0,0,0,0,0,0
1242,3,134.0,0,0,0,0,0
1243,2,134.0,0,0,0,0,0
1244,3,134.0,0,0,0,0,0
1245,2,134.0,0,0,0,0,0
1246,3,134.0,0,0,0,0,0
1247,2,134.0,0,0,0,0,0
1248,3,134.0,0,0,0,0,0
1249,2,134.0,0,0,0,0,0
1250,3,134.0,0,0,0,0,0
1251,2,134.0,0,0,0,0,0
1252,3,134.0,0,0,0,0,0
1253,2,134.0,0,0,0,0,0
1254,3,134.0,0,0,0,0,0
1255,2,134.0,0,0,0,0,0
1256,3,134.0,0,0,0,0,0
1257,2,134.0,0,0,0,0,0
1258,3,134.0,0,0,0,0,0
1259,2,134.0,0,0,0,0,0
1260,3,134.0,0,0,0,0,0
1261,2,134.0,0,0,0,0,0
1262,3,134.0,0,0,0,0,0
