Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10760,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10761,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10762,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10763,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10764,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10765,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10766,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10767,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10768,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10769,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10770,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10771,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10772,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10773,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10774,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10775,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10776,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10777,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10778,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10779,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10780,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10781,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10782,12,263.58,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,1,0,0
10783,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
