Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change
11092,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11093,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11094,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11095,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11096,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11097,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11098,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11099,6,34.33,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11100,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11101,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
