Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10071,5,207.0,0,0,0,0
10072,5,207.0,0,0,0,0
10073,5,207.0,0,0,0,0
10074,5,207.0,0,0,0,0
10075,5,207.0,0,0,0,0
10076,5,207.0,0,0,0,0
10077,5,207.0,0,0,0,0
10078,5,207.0,0,0,0,0
10079,4,207.0,0,0,0,0
10080,5,207.0,0,0,0,0
10081,5,207.0,0,0,0,0
10082,5,207.0,0,0,0,0
10083,5,207.0,0,0,0,0
10084,5,207.0,0,0,0,0
10085,5,207.0,0,0,0,0
10086,5,207.0,0,0,0,0
10087,5,207.0,0,0,0,0
10088,5,207.0,0,0,0,0
10089,5,207.0,0,0,0,0
10090,5,207.0,0,0,0,0
10091,5,207.0,0,0,0,0
10092,5,207.0,0,0,0,0
10093,5,207.0,0,0,0,0
10094,5,207.0,0,0,0,0
10095,5,207.0,0,0,0,0
10096,5,207.0,0,0,0,0
10097,5,207.0,0,0,0,0
10098,5,207.0,0,0,0,0
10099,5,207.0,0,0,0,0
10100,5,207.0,0,0,0,0
10101,5,207.0,0,0,0,0
10102,5,207.0,0,0,0,0
10103,5,207.0,0,0,0,0
10104,5,207.0,0,0,0,0
10105,5,207.0,0,0,0,0
10106,5,207.0,0,0,0,0
10107,5,207.0,0,0,0,0
10108,5,207.0,0,0,0,0
10109,5,207.0,0,0,0,0
10110,5,207.0,0,0,0,0
10111,5,207.0,0,0,0,0
10112,5,207.0,0,0,0,0
10113,5,207.0,0,0,0,0
10114,5,207.0,0,0,0,0
10115,5,207.0,0,0,0,0
10116,5,207.0,0,0,0,0
10117,5,207.0,0,0,0,0
10118,5,207.0,0,0,0,0
10119,5,207.0,0,0,0,0
10120,5,207.0,0,0,0,0
10121,5,207.0,0,0,0,0
10122,5,207.0,0,0,0,0
10123,5,207.0,0,0,0,0
10124,5,207.0,0,0,0,0
10125,5,207.0,0,0,0,0
10126,5,207.0,0,0,0,0
10127,5,207.0,0,0,0,0
10128,5,207.0,0,0,0,0
10129,5,207.0,0,0,0,0
10130,5,207.0,0,0,0,0
10131,5,207.0,0,0,0,0
10132,5,207.0,0,0,0,0
10133,5,207.0,0,0,0,0
10134,5,207.0,0,0,0,0
10135,5,207.0,0,0,0,0
10136,4,207.0,0,0,0,0
10137,5,207.0,0,0,0,0
10138,5,207.0,0,0,0,0
10139,5,207.0,0,0,0,0
10140,5,207.0,0,0,0,0
10141,5,207.0,0,0,0,0
10142,5,207.0,0,0,0,0
10143,5,207.0,0,0,0,0
10144,5,207.0,0,0,0,0
10145,5,207.0,0,0,0,0
10146,5,207.0,0,0,0,0
10147,3,207.0,0,0,0,0
