Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Attack
10690,2,66,1,1,0,0,0,0,0,0,0
10691,2,66,1,1,0,0,0,0,0,0,0
10692,3,66,1,1,0,0,0,0,0,0,0
10693,3,66,1,1,0,0,0,0,0,0,0
10694,2,66,1,1,0,0,0,0,0,0,0
10695,3,66,1,1,0,0,0,0,0,0,0
10696,2,66,1,1,0,0,0,0,0,0,0
10697,3,66,1,1,0,0,0,0,0,0,0
10698,2,66,1,1,0,0,0,0,0,0,0
10699,2,66,1,1,0,0,0,0,0,0,0
10700,3,66,1,1,0,0,0,0,0,0,0
10701,2,66,1,1,0,0,0,0,0,0,0
10702,2,66,1,1,0,0,0,0,0,0,0
10703,3,66,1,1,0,0,0,0,0,0,0
10704,2,66,1,1,0,0,0,0,0,0,0
10705,2,66,1,1,0,0,0,0,0,0,0
10706,4,66,1,1,0,0,0,0,0,0,0
10707,2,66,1,1,0,0,0,0,0,0,0
10708,2,66,1,1,0,0,0,0,0,0,0
10709,3,66,1,1,0,0,0,0,0,0,0
10710,2,66,1,1,0,0,0,0,0,0,0
10711,3,66,1,1,0,0,0,0,0,0,0
10712,2,66,1,1,0,0,0,0,0,0,0
10713,2,66,1,1,0,0,0,0,0,0,0
10714,3,66,1,1,0,0,0,0,0,0,0
10715,2,66,1,1,0,0,0,0,0,0,0
10716,2,66,1,1,0,0,0,0,0,0,0
10717,3,66,1,1,0,0,0,0,0,0,0
10718,2,66,1,1,0,0,0,0,0,0,0
10719,3,66,1,1,0,0,0,0,0,0,0
10720,3,66,1,1,0,0,0,0,0,0,0
10721,2,66,1,1,0,0,0,0,0,0,0
10722,3,66,1,1,0,0,0,0,0,0,0
10723,2,66,1,1,0,0,0,0,0,0,0
10724,2,66,1,1,0,0,0,0,0,0,0
10725,3,66,1,1,0,0,0,0,0,0,0
10726,2,66,1,1,0,0,0,0,0,0,0
10727,2,66,1,1,0,0,0,0,0,0,0
10728,3,66,1,1,0,0,0,0,0,0,0
10729,2,66,1,1,0,0,0,0,0,0,0
10730,2,66,1,1,0,0,0,0,0,0,0
10731,3,66,1,1,0,0,0,0,0,0,0
10732,3,66,1,1,0,0,0,0,0,0,0
10733,2,66,1,1,0,0,0,0,0,0,0
10734,3,66,1,1,0,0,0,0,0,0,0
10735,2,66,1,1,0,0,0,0,0,0,0
10736,3,66,1,1,0,0,0,0,0,0,0
10737,2,66,1,1,0,0,0,0,0,0,0
10738,2,66,1,1,0,0,0,0,0,0,0
10739,3,66,1,1,0,0,0,0,0,0,0
10740,2,66,1,1,0,0,0,0,0,0,0
10741,2,66,1,1,0,0,0,0,0,0,0
10742,3,66,1,1,0,0,0,0,0,0,0
10743,2,66,1,1,0,0,0,0,0,0,0
10744,2,66,1,1,0,0,0,0,0,0,0
10745,4,66,1,1,0,0,0,0,0,0,0
10746,2,66,1,1,0,0,0,0,0,0,0
10747,2,66,1,1,0,0,0,0,0,0,0
10748,3,66,1,1,0,0,0,0,0,0,0
10749,2,66,1,1,0,0,0,0,0,0,0
10750,3,66,1,1,0,0,0,0,0,0,0
10751,2,66,1,1,0,0,0,0,0,0,0
10752,2,66,1,1,0,0,0,0,0,0,0
10753,3,66,1,1,0,0,0,0,0,0,0
10754,2,66,1,1,0,0,0,0,0,0,0
10755,2,66,1,1,0,0,0,0,0,0,0
10756,3,66,1,1,0,0,0,0,0,0,0
10757,3,66,1,1,0,0,0,0,0,0,0
10758,3,66,1,1,0,0,0,0,0,0,0
10759,2,66,1,1,0,0,0,0,0,0,0
10760,2,66,1,1,0,0,0,0,0,0,0
10761,3,66,1,1,0,0,0,0,0,0,0
10762,2,66,1,1,0,0,0,0,0,0,0
10763,2,66,1,1,0,0,0,0,0,0,0
10764,3,66,1,1,0,0,0,0,0,0,0
10765,2,66,1,1,0,0,0,0,0,0,0
10766,2,66,1,1,0,0,0,0,0,0,0
10767,3,66,1,1,0,0,0,0,0,0,0
10768,2,66,1,1,0,0,0,0,0,0,0
10769,2,66,1,1,0,0,0,0,0,0,0
10770,4,66,1,1,0,0,0,0,0,0,0
