Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Attack
10833,3,134,0,0,0,0,0
10834,2,134,0,0,0,0,0
10835,3,134,0,0,0,0,0
10836,2,134,0,0,0,0,0
10837,3,134,0,0,0,0,0
10838,2,134,0,0,0,0,0
10839,3,134,0,0,0,0,0
10840,2,134,0,0,0,0,0
10841,3,134,0,0,0,0,0
10842,2,134,0,0,0,0,0
10843,3,134,0,0,0,0,0
10844,2,134,0,0,0,0,0
10845,3,134,0,0,0,0,0
10846,2,134,0,0,0,0,0
10847,3,134,0,0,0,0,0
10848,2,134,0,0,0,0,0
10849,3,134,0,0,0,0,0
10850,2,134,0,0,0,0,0
10851,3,134,0,0,0,0,0
10852,2,134,0,0,0,0,0
10853,3,134,0,0,0,0,0
10854,2,134,0,0,0,0,0
10855,3,134,0,0,0,0,0
10856,2,134,0,0,0,0,0
10857,3,134,0,0,0,0,0
10858,2,134,0,0,0,0,0
10859,3,134,0,0,0,0,0
10860,2,134,0,0,0,0,0
10861,3,134,0,0,0,0,0
10862,2,134,0,0,0,0,0
10863,3,134,0,0,0,0,0
10864,2,134,0,0,0,0,0
10865,3,134,0,0,0,0,0
10866,2,134,0,0,0,0,0
10867,3,134,0,0,0,0,0
10868,2,134,0,0,0,0,0
10869,3,134,0,0,0,0,0
10870,2,134,0,0,0,0,0
10871,3,134,0,0,0,0,0
10872,2,134,0,0,0,0,0
10873,3,134,0,0,0,0,0
10874,2,134,0,0,0,0,0
10875,3,134,0,0,0,0,0
10876,2,134,0,0,0,0,0
10877,3,134,0,0,0,0,0
10878,2,134,0,0,0,0,0
10879,3,134,0,0,0,0,0
10880,2,134,0,0,0,0,0
10881,3,134,0,0,0,0,0
10882,2,134,0,0,0,0,0
10883,3,134,0,0,0,0,0
10884,8,132.75,1,1,0,0,0
10885,5,133,0,0,0,0,0
10886,3,133,0,0,0,0,0
10887,2,133,0,0,0,0,0
10888,3,133,0,0,0,0,0
10889,2,133,0,0,0,0,0
10890,3,133,0,0,0,0,0
10891,2,133,0,0,0,0,0
10892,3,133,0,0,0,0,0
10893,2,133,0,0,0,0,0
10894,3,133,0,0,0,0,0
