Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed,Attack
10821,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10822,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10823,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10824,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10825,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10826,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10827,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10828,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10829,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10830,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10831,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10832,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10833,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10834,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10835,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10836,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10837,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10838,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10839,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10840,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10841,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10842,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10843,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10844,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10845,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10846,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10847,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10848,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10849,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10850,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10851,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10852,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
